unidades capa1;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
25;0,3;GB2;90;1;0,0884711838080821;0,1199890632284096;0,1492848867047037;3,0
25;0,3;GB3;10;10;0,0035818593094291;0,06345573093755255;0,1380238438445936;4,0
25;0,3;GB3;10;5;0,0066927243315085;0,07508687833400345;0,183101114335444;5,0
25;0,3;GB3;10;1;0,0265111027858085;0,11353093427497292;0,213847783110631;9,0
25;0,3;GB3;20;20;0,0300254219642131;0,14062362643073925;0,2462138145697148;3,0
25;0,3;GB3;20;10;0,0175842477154151;0,06526814504005352;0,1210737154538591;8,0
25;0,3;GB3;20;1;0,0117985902756595;0,06523171310701509;0,1424106665551278;2,0
25;0,3;GB3;40;40;0,0450517088251074;0,13877617445210697;0,2872134789517763;5,0
25;0,3;GB3;40;20;0,0175798953885246;0,09117078809267347;0,2138000667824029;5,0
25;0,3;GB3;40;1;0,000875742600401;0,03990326879757964;0,0677425521902744;8,0
25;0,3;GB3;60;60;0,0535351646341008;0,13281415790872947;0,2427735763036676;5,0
25;0,3;GB3;60;30;0,0092554908579009;0,1037286243188674;0,187519507979968;2,0
25;0,3;GB3;60;1;0,0;0,058566986908392335;0,1430402427987953;7,0
25;0,3;GB3;90;90;0,0166988107016721;0,11214843865983175;0,2697500190270109;1,0
25;0,3;GB3;90;45;0,0070345472373444;0,09438481570318513;0,1684615654456795;6,0
25;0,3;GB3;90;1;0,0046492689615189;0,043200228292873524;0,1077849550173297;0,0
25;0,3;GB5;10;10;0,0;0,15529672796030647;0,3443155724222929;4,0
25;0,3;GB5;10;5;0,048077341177029;0,13369394960248654;0,2456814619891332;6,0
25;0,3;GB5;10;1;0,0060859734194072;0,13714763999780327;0,2623566506647187;7,0
25;0,3;GB5;20;20;0,0431193589554961;0,25383557343153434;0,406731225431217;0,0
25;0,3;GB5;20;10;0,0117180035361859;0,16103558686816796;0,3431314361229772;6,0
25;0,3;GB5;20;1;0,0;0,14053242835745544;0,2969587919079991;3,0
25;0,3;GB5;40;40;0,0822100359078618;0,18307371196709163;0,3508973013200605;8,0
25;0,3;GB5;40;20;0,0454031633132394;0,1548813115911156;0,267222004945449;7,0
25;0,3;GB5;40;1;0,0068831073713884;0,10103369397390453;0,2208191026652919;2,0
25;0,3;GB5;60;60;0,1507150381183733;0,1883004551329269;0,2669982743264908;3,0
25;0,3;GB5;60;30;0,0698421907966869;0,1380651803022743;0,2540147469668933;1,0
25;0,3;GB5;60;1;0,0088836827781101;0,13577778106542154;0,2468186356031727;0,0
25;0,3;GB5;90;90;0,0410830999066293;0,19050557020756537;0,433935462063496;1,0
25;0,3;GB5;90;45;0,1047772520145069;0,16078142934068057;0,2977629593395784;0,0
25;0,3;GB5;90;1;0,0059680373277766;0,09320108453094042;0,2155085296832041;6,0
25;0,3;GB7;10;10;0,0;0,14622573507607525;0,3315343092417833;2,0
25;0,3;GB7;10;5;0,0385922481227044;0,12034189786740405;0,2604426842138541;7,0
25;0,3;GB7;10;1;0,0617080923262378;0,13534145570597395;0,1967483934384785;7,0
